mode,group,rounded_tensors,fraction_bits,dropped_bits,total_weights,changed_weights,original_zeros,quantized_zeros,max_abs_delta_raw,sum_abs_delta_raw,saturations,mean_abs_delta_raw,candidate_sha256,sample_sha256,trace_sha256,matching_samples,first_sample_difference,trace_points,matching_trace_tokens,common_trace_points,matching_top1,max_abs_top1_value_delta_raw,first_logits_divergence,first_probs_divergence,first_output_token_divergence,first_top1_divergence
only,mlp_fc2,layers.0.mlp_fc2,10,38,4096,4096,0,16,137327968333,278611442429387,0,68020371686.86206,cbddda19a64f3b899921e73adf92cfb08ca65f4252739de2ee1cae8b86e38de6,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,0dfe6c04b96831c4bc999f9f70dd2139f0ec428ce15a9bd44818c28902cb9103,20,,122,122,122,122,653103016579,0:0,0:0,,
rescue,token_embedding,"layers.0.attn_wk,layers.0.attn_wo,layers.0.attn_wq,layers.0.attn_wv,layers.0.mlp_fc1,layers.0.mlp_fc2,lm_head,wpe",10,38,13408,13408,0,32,137415883575,924143776561953,0,68924804337.85449,b81e013a91439278501b380cafef26ef089688b77451e2c133f3aca7c3aed0c3,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,96d8531704147ac4d96924a24d0ebafe047ab93d5a82d73000d8954cb1f07aea,20,,122,122,122,121,2783859188158,0:0,0:0,,15:5
rescue,position_embedding,"layers.0.attn_wk,layers.0.attn_wo,layers.0.attn_wq,layers.0.attn_wv,layers.0.mlp_fc1,layers.0.mlp_fc2,lm_head,wte",10,38,14016,14016,0,33,137437364486,966634576809882,0,68966508048.65025,9fd2afa89310ee14e9f7a439b5fe68ee4675289152a4d545b86708c32df02920,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,d4439aa550d04920ef0651f315c8cfd244305e8a1619fddeb857ead624d0e7e7,20,,122,122,122,121,2680679006940,0:0,0:0,,15:5
rescue,language_head,"layers.0.attn_wk,layers.0.attn_wo,layers.0.attn_wq,layers.0.attn_wv,layers.0.mlp_fc1,layers.0.mlp_fc2,wpe,wte",10,38,13408,13408,0,32,137437364486,923471188167437,0,68874641122.27304,a9da26652d0c991c03d83d77677d421f38778dea826cfc45db296f023a049d03,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,8789b46799005466ef26abf73909313cb001ed87a1026036442a6f2875830ee1,20,,122,122,122,121,2636895192606,0:0,0:0,,15:5
rescue,attention_qkv,"layers.0.attn_wo,layers.0.mlp_fc1,layers.0.mlp_fc2,lm_head,wpe,wte",10,38,11200,11200,0,28,137437364486,771612874546033,0,68894006655.8958,22e8dd854ffcb24e2e1d252ee0c123b0b66301bc1c85999b28ad65f49de23185,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,cea2bacf9ac0eb194353484c7501bbc46b9b4c4bec0247e8a6f9556b97ac4021,20,,122,122,122,122,2736214117782,0:0,0:0,,
rescue,attention_output,"layers.0.attn_wk,layers.0.attn_wq,layers.0.attn_wv,layers.0.mlp_fc1,layers.0.mlp_fc2,lm_head,wpe,wte",10,38,13248,13248,0,31,137437364486,912898073474665,0,68908369072.66493,f744e630f0128c5a67c190e2c5695d847d4874d85b3840b5c92f32aef8f285dd,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,3a46aaf1d1cf624425ffa0ee7be28e74d41ac0f34083664cd4f65eccbbf3d693,20,,122,122,122,121,2505163434532,0:0,0:0,,15:5
rescue,mlp_fc1,"layers.0.attn_wk,layers.0.attn_wo,layers.0.attn_wq,layers.0.attn_wv,layers.0.mlp_fc2,lm_head,wpe,wte",10,38,10176,10176,0,25,137437364486,700613838647647,0,68849630370.24834,0e23acb39cb82e23b3648b9f98d0449a8d2d2a0e3eac9b732f1f32e8f3f53fdb,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,a7df5a0a443c7b135a62861e52974be3144c101b38bee7979e8b77765fa15f88,20,,122,122,122,121,1637337727783,0:0,0:0,,15:5
rescue,mlp_fc2,"layers.0.attn_wk,layers.0.attn_wo,layers.0.attn_wq,layers.0.attn_wv,layers.0.mlp_fc1,lm_head,wpe,wte",10,38,10176,10176,0,17,137437364486,705541134726259,0,69333837925.14337,c23ae43528f54e44ac4eb84b12c26a3d08bc5964491b4ce2472e6dda94b1b8a4,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,d824d00a77dfa661bf49516c583126da455fbeb41ea1e9c66f1eaa1d55f30f8a,20,,122,122,122,121,2543501369755,0:0,0:0,,15:5
all,all tensors rounded,"layers.0.attn_wk,layers.0.attn_wo,layers.0.attn_wq,layers.0.attn_wv,layers.0.mlp_fc1,layers.0.mlp_fc2,lm_head,wpe,wte",9,39,14272,14272,0,69,274869913999,1973707501420920,0,138292285693.73038,9187d41e9f68936750fd8c4558b96c00e45f839bc55119b214d3e4eafdd74630,9c6502df9092e93c92ef25ecd0eafb31cb5511b95a530490a16e100d46c4f21b,c69d77cfea00ce4f483be6f3af904ae276c66a0d27e0388f75d7ef48c7d575e3,18,15:2,123,113,122,115,772714418890151,0:0,0:0,15:2,15:3
only,token_embedding,wte,9,39,864,864,0,2,274864509832,119564868953637,0,138385264992.6354,869c1cade2e47e6739b1393dd95e94ba92aa477c9c4b28817a77de5e8f1ce4b7,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,26c57fc2d4d5b09514faffed2eb291a8d06ba20793133d06c05ba03bf24c7c57,20,,122,122,122,122,1808026809133,0:0,0:0,,
