fraction_bits,dropped_bits,total_weights,changed_weights,original_zeros,quantized_zeros,max_abs_delta_raw,sum_abs_delta_raw,saturations,mean_abs_delta_raw,candidate_sha256,sample_sha256,trace_sha256,matching_samples,first_sample_difference,trace_points,matching_trace_tokens,common_trace_points,matching_top1,max_abs_top1_value_delta_raw,first_logits_divergence,first_probs_divergence,first_output_token_divergence,first_top1_divergence
24,24,14272,14272,0,0,8387449,59467133798,0,4166699.39728139,e3ed839fc4f52d13df434ca716249ee94a1ae0dfd9a2f0955c7b932d57bb847e,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,4a9490267fdeae44f8a09c2ab3547ca929c4d7078774b90e07103fd02cfec2a6,20,,122,122,122,122,209575321,0:0,0:0,,
23,25,14272,14272,0,0,16776691,119198282970,0,8351897.629624439,471c3b97c5ed21925f66488444eeb10ed2c3d4378874cbd075872ef84106799d,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,c5c24a49a403a55b7d42aa817bc167997e9b62f58fbcff0aabaa5f65e3bc5e8b,20,,122,122,122,122,430791225,0:0,0:0,,
22,26,14272,14272,0,0,33553497,241856869846,0,16946249.288536996,b8120951b3c96491f905fa790b263570ea64fd83cd388dbe02ac63060fae83b7,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,9e025ed878663509bef8018b13095f03787402cacb2120f9c43b6ddf68135772,20,,122,122,122,122,725858515,0:0,0:0,,
21,27,14272,14272,0,0,67108428,477712326758,0,33471995.98920964,48140eaaad22b0e0b6c78aef65b82691916866a0dd432a4fb96729df62451a4b,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,3f679fd2841bfbbeb3116502675d60575e4d38edff8a7c0bfa6741128cebb339,20,,122,122,122,122,927288122,0:0,0:0,,
20,28,14272,14272,0,0,134180987,961630889630,0,67378845.96622758,cbaebf9f83cec893fa6c4400ed554248860e390be6d4b36968f3b0aeb65a2e30,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,8bb690c6b0062d35e865108a91feb1206dfd62c75775ad35416748a04b71c1cd,20,,122,122,122,122,2172539938,0:0,0:0,,
19,29,14272,14272,0,0,268431528,1904434471622,0,133438513.98696749,bd61733bb67cf1ea711228751df48c4ee3a52be4ad923c3b5544447c8957cfa4,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,a53020377f7afc18ba66572483e686ccedc68652f72067f026a39021f52a6f49,20,,122,122,122,122,5191359244,0:0,0:0,,
18,30,14272,14272,0,0,536777544,3828447641838,0,268248853.8283352,64fe9917a5188ab5ab3cba7bd12b724535962efba2d4def15ba38b3c069181b5,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,e3c9adcdcfb36144b865e8afd0e585c53104f91fa7095ece58e3e2b10da773a0,20,,122,122,122,122,8127573442,0:0,0:0,,
17,31,14272,14272,0,0,1073715016,7657613243100,0,536548013.1095852,d52830df9ad1874c85f009884d7edd4d64b0e4a8124dcf103bb9a637ff08ae82,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,70655a8110816bca7e7a92e559b3f59c16f203c053e1f8d89d539db9694e30ae,20,,122,122,122,122,15406680742,0:0,0:0,,
16,32,14272,14272,0,0,2147337293,15229353143260,0,1067079115.9795403,1c8f128e893393eff05462c0156772f242807b81e31bb4661a8c332c1dbfcc83,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,2f08501b643f0b4b43fcbc7716fae461738d79364b32f6cdf5e424f14de07497,20,,122,122,122,122,37164277376,0:0,0:0,,
15,33,14272,14272,0,1,4294029508,30323308764784,0,2124671297.9809418,55b004a7931c0328eed3dcacaaa0fb6958cd1fae1b4cf0cb8b14dfe03e2c8390,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,d97c1b4486a9b5fed065eed491adfaf394c634e57359dfcb7b3493e38de1bb43,20,,122,122,122,122,89234815994,0:0,0:0,,
14,34,14272,14272,0,1,8589324852,62049458772838,0,4347635844.509389,5b30c78d905678770831d08acd97674e87b873ad6e8294a73285b930f035576d,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,2da3565c896b6c5ec4ed796c50a5d372b3ae5047f653c26f1e392c61c23d375a,20,,122,122,122,122,143750930458,0:0,0:0,,
13,35,14272,14272,0,1,17178960534,122504207810378,0,8583534740.076934,85a96f7b4719adc4f56e11381bb8ba6fca362c913f2363d293df56a6693e20c4,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,089e4a7f4459b19942a700959dc290f866766727abac0ce2aff2fde78fda9274,20,,122,122,122,122,350147287466,0:0,0:0,,
12,36,14272,14272,0,6,34358668780,244717149380264,0,17146661251.419844,742cbd6d0b750bf3d164a23d97390171e3fe545ee9d87a2b0e843d3d8d1ae9f4,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,1d1418d619c96a79eed0db6f5a4a19957b608a27645e3fb8af2e3393e96e7e15,20,,122,122,122,122,640685315014,0:0,0:0,,
11,37,14272,14272,0,16,68717444174,492330024235234,0,34496218065.809555,1a71a22f0901cea0e37d26872717c2d4db874f294b742fd7572fca196caa2051,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,757b354d5f1ab21a2a989f59f657b473a5bd2e1b2f3ce66688139618bb6275b5,20,,122,122,122,121,916817654565,0:0,0:0,,15:5
10,38,14272,14272,0,33,137437364486,984152577155646,0,68956879004.73978,0053cfe174b760e2bc1c7ebd67a00f0195cf63f47623e2d38da63af10a4b49bb,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,87bd73c0d4474fc31779c61cf8f68ac2dad573ea825a43ea82dde1f9452c75af,20,,122,122,122,121,2715452596965,0:0,0:0,,15:5
9,39,14272,14272,0,69,274869913999,1973707501420920,0,138292285693.73038,9187d41e9f68936750fd8c4558b96c00e45f839bc55119b214d3e4eafdd74630,9c6502df9092e93c92ef25ecd0eafb31cb5511b95a530490a16e100d46c4f21b,c69d77cfea00ce4f483be6f3af904ae276c66a0d27e0388f75d7ef48c7d575e3,18,15:2,123,113,122,115,772714418890151,0:0,0:0,15:2,15:3
8,40,14272,14272,0,139,549669644684,3938928152825720,0,275989921021.9815,bbdf287627da2dcf941990ded39b07f479e6d297bcb80c0d561ff8dc2dafc43d,c9ca5906a61aa52a3430ba3f92c6f2b9b6348efa70ffa70408ea2c3e1bb7c138,0c67d15b252f874531f1b3add4a98ad0fe18e2adf5e6f1f65d3a1034d6b4e586,15,15:2,119,96,118,107,1245433022527913,0:0,0:0,15:2,15:3
7,41,14272,14272,0,278,1099328109426,7837109387730744,0,549124816965.4389,f4e37e21c5d0b0dd31dfb7b7ec8c9b991d002eb929550a08b3743a558613568c,7686f0900b33c770dfd00e81c3b0a7f103f21d64cfa2d01d51348b893d2cc994,34aaa0577b82bb14e0caa3aa0e9c6242d3b21b17a63124b31be7865500ce05de,19,2:0,122,119,122,113,427993776766677,0:0,0:0,2:0,2:2
6,42,14272,14272,0,566,2198513266104,15723923846362958,0,1101732332284.4001,b6b8ef5d02a1ad62567c822c3cd260263c8e46d4ef4edc44810a0d4b0db57e82,a202281ec9f54637b173ed73420b18a6998b196f721d4562ceb707acbf6209e9,fcaab88601aee6009dcb2affe5011c42db3d94fcb6bda71d1a86275440ac0145,2,1:0,126,27,115,55,1170632305080253,0:0,0:0,1:0,1:1
5,43,14272,14272,0,1205,4397892913233,31484816451159584,0,2206054964346.944,ab9b0dbc8bfe65bf4fccde934fa6d538f6839a2bba3067d9ef9c5654e40478d4,6671c33dd24c3e4c083f9a1f9395c5901311be16b23aa25e1c8a4338c655211f,dd6fb26dd6d56a20393ce5efec8b305f6e838628efb4cdf85e7589ee1b7f830b,1,1:0,129,25,116,53,1273157711207642,0:0,0:0,1:0,1:1
4,44,14272,14272,0,2398,8795319528797,62998952802451810,0,4414164293893.765,8e048aa9e8a77cc527f2c4d250a68a46b652bb93523637d45260ba94a3555f83,6392badd5b36d292f9f544681befeae0682ea977e596a49339249484e7f26c3d,857a09a5d5d5064f099177abbb1f7389bf0dec2407e7ba3b632a4fc176c69b10,1,1:0,130,27,118,56,1246639127814441,0:0,0:0,1:0,0:4
3,45,14272,14272,0,4551,17592017677440,124552299544854982,0,8727038925508.337,4ba9494752d794ece0006e23a51656fd10a4e1f65b13aef175651488087044fc,1e2d996fba80728d94e4a4d4cfbc4cfda510331cee0ac15a1332654d88a54e42,f91e5eb69e1ba15da7b64fb0a0205ceed05cac5a427c663d91361560d4e105ee,1,1:0,123,37,114,43,1277601165849930,0:0,0:0,1:0,0:0
2,46,14272,14272,0,7878,35175112852495,243459192204039750,0,17058519633130.588,df3c2aed894df702879e3948a8b3a029c049bdef45635dbd07d06e5986fd15bf,4d368747983e500ac624ac24efab6fb58730fb15df5bc0377980451680a147b5,3f1167980540e2ec4b52fcd8ff49d8718f8cc501d2840d117be5960a98873d43,0,0:0,131,21,117,45,1264669346748116,0:0,0:0,0:0,0:4
1,47,14272,14272,0,11558,70368320764507,422069026064774298,0,29573222117767.258,412fea902a94d45ddf8b1ffe45ab1b9df20de59c5795a15ec5ee40055972ea4a,9c6921ecd2137f232312a0366c7f40e911cb6befd4721cfb55358fe400b9fda5,5822ca2b37a12a62aeab1af65e542851ef632322bf95365c74ff7d8170995afd,0,0:0,157,16,122,26,1934680570491214,0:0,0:0,0:0,0:1
0,48,14272,14272,0,13597,140717747847501,565977019826806956,0,39656461591003.85,37a91a837037779893208a91847fe99602d808712593b803154547d2e064af02,1f0bd4e89558d8d544a463ce1ff8660261aa44fbfb9a1bea27039ecdafc5d4e4,a34750723a5ca4948a4649f6bf4a6471b49d2023bd1f921664c2903243b3ed3b,0,0:0,136,20,114,44,1587257867269353,0:0,0:0,0:0,0:2
