body_fraction_bits,head_fraction_bits,total_weights,changed_weights,fraction_bits,dropped_bits,original_zeros,quantized_zeros,max_abs_delta_raw,sum_abs_delta_raw,saturations,mean_abs_delta_raw,candidate_sha256,sample_sha256,trace_sha256,matching_samples,first_sample_difference,trace_points,matching_trace_tokens,common_trace_points,matching_top1,max_abs_top1_value_delta_raw,first_logits_divergence,first_probs_divergence,first_output_token_divergence,first_top1_divergence
8,14,864,864,14,34,0,0,8585862231,3689678461577,0,4270461182.380787,00d2b773e496e71d0432db588922c927ed7e29fef5ce07a01c783217ccd54572,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,8f2a103c2500bdca8b600f001b7fe157f373420ac0f87ad988df418a29763f88,20,,122,122,122,122,8633114406141,0:0,0:0,,
8,16,864,864,16,32,0,0,2144910689,910303304825,0,1053591787.9918982,91658f62eb11d6ef0bb5e9b76afc40e1fe281ddee36be8891754a9121382c756,ed8c063e4053246666dd0fadf93d909915b0b85b8a8b75996769cfd813de80c6,8dce3d65f7ab71d93104dbab0b434268393c6ff4d7d264787b1b21f924782ba1,1,1:0,129,25,117,55,1306224864743181,0:0,0:0,1:0,1:1
8,24,864,864,24,24,0,0,8384577,3632299571,0,4204050.429398148,962f75bf582d1795aef1b1aa51083c519084edd47dc172d558931a45dd1907ae,ed8c063e4053246666dd0fadf93d909915b0b85b8a8b75996769cfd813de80c6,01796a4c49dcb0cfe76cd750e53606342c6bcc13aa1d34b9c8ae34fd76d160c1,1,1:0,129,25,117,55,1306228900577612,0:0,0:0,1:0,1:1
8,48,864,0,48,0,0,0,0,0,0,0.0,a587f2a9879b88683abc446d4acdde04a29f6cb22ce3668b2d1fa01400e8471a,ed8c063e4053246666dd0fadf93d909915b0b85b8a8b75996769cfd813de80c6,0ef73bd3922b3f85799e76da3cef3a03297d5668f978c9ce78bce12ebe9079fd,1,1:0,129,25,117,55,1306228886427288,0:0,0:0,1:0,1:1
7,9,864,864,9,39,0,3,274814086296,121490890935751,0,140614457101.56366,eaca29e05308fa91d5c70cb82d6e942ce086900262f16a666d69cb7073ee3e2d,7686f0900b33c770dfd00e81c3b0a7f103f21d64cfa2d01d51348b893d2cc994,713f3c504b34481d1d5bc32547660d648bb38c8c6a00db5af721f5dbc4ea3b52,19,2:0,122,119,122,118,425491815126973,0:0,0:0,2:0,2:2
7,10,864,864,10,38,0,1,137344729467,60681388988209,0,70233089106.72337,96c4ed9aa2f43f73f8fccee52ad421f655d66aba46560d13b2dee858ed6d26b6,8494a98f109b87941bd6e1850722da804b941f6c2605da36f263d1ccfe584b79,b6b8eef1b56d343a6158cf8545f4c34b03638c6b5c5ab2907f822a4663d7ca97,18,2:0,122,115,122,116,1282332347958173,0:0,0:0,2:0,2:2
7,11,864,864,11,37,0,1,68572470046,30652763421155,0,35477735441.15162,f22cf69786a04f0dca8dddc3302d33cd4b9188e0f36ceeca429f446ae26d719d,8494a98f109b87941bd6e1850722da804b941f6c2605da36f263d1ccfe584b79,cc8732d00ccd9b66b37e3188b78c783dafbd05f3ca0bae01899ea56dc307ebd3,18,2:0,122,115,122,116,1282822830692559,0:0,0:0,2:0,2:2
7,12,864,864,12,36,0,0,34289462110,15095831130367,0,17472026771.258102,dc3da36b7b8c08422bf1482933dabb135f0d34cfa79677ef5ea779119002473f,8494a98f109b87941bd6e1850722da804b941f6c2605da36f263d1ccfe584b79,cb8cf38eec7b881b0278d9cb1d3c21758455ccdf7d748b1c3e96ac960bacc1b1,18,2:0,122,115,122,116,1282386525122892,0:0,0:0,2:0,2:2
7,13,864,864,13,35,0,0,17165221456,7681324896209,0,8890422333.575232,6038d74c3183e58375c1fb09f96058c711bb262705595cbfacad5f6a1e5708e5,8494a98f109b87941bd6e1850722da804b941f6c2605da36f263d1ccfe584b79,33da1424b2df2103fce83767c763b652129c58df726f4ae8705ef148d6b6cb03,18,2:0,122,115,122,116,1282549139415946,0:0,0:0,2:0,2:2
7,14,864,864,14,34,0,0,8585862231,3689678461577,0,4270461182.380787,be93f5ce80c1ef9e29f7dfb9b401771f7071a6c5c5ce221102d4bea7309f72e1,8494a98f109b87941bd6e1850722da804b941f6c2605da36f263d1ccfe584b79,0226638375683a6726d5383ef9a34dd7c50309b10ade35339cbfd168fddba0d1,18,2:0,122,115,122,116,1282543079336095,0:0,0:0,2:0,2:2
